"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","57990846840","3766368540","1270408","88824","2768910","110345","7166","15.4",""
"2","","Apex Legends","41389060020","2646501300","411397","15613","1435470","78755","5035","15.64",""
"3","","Call Of Duty: Modern Warfare","5824225800","2510967420","63985","35271","1550123","11082","4777","2.32",""
"4","","Just Chatting","181246299420","2321834400","2787896","13314","2094087","344876","4417","78.06",""
"5","","League of Legends","104139666300","2278501800","3087270","11606","1098600","198157","4335","45.71",""
"6","","VALORANT","57049331580","2217489180","1047665","8565","1330209","108553","4219","25.73",""
"7","","Call of Duty: Warzone","51088882320","2081422560","1654695","22657","861053","97212","3960","24.55",""
"8","","Minecraft","51800940000","1968850260","973241","9892","2140535","98567","3746","26.31",""
"9","","Grand Theft Auto V","112499341380","1527914100","1154832","7043","1133175","214064","2907","73.63",""
"10","","Dead by Daylight","17653259400","1017703860","257714","5154","568420","33590","1936","17.35",""
"11","","Counter-Strike: Global Offensive","46050444000","890860440","1933313","4598","751423","87625","1695","51.69",""
"12","","World of Warcraft","21855501000","825541800","434559","8423","258300","41586","1570","26.47",""
"13","","Rocket League","12007187880","718982100","262428","3996","1120263","22847","1368","16.7",""
"14","","Music","16584363300","656408460","263843","2908","243876","31556","1249","25.27",""
"15","","Call of Duty: Black Ops Cold War","4147684860","633646440","140677","4849","603482","7892","1205","6.55",""
"16","","Escape from Tarkov","24225109140","633498060","475913","6148","201253","46095","1205","38.24",""
"17","","Tom Clancy's Rainbow Six Siege","11689379820","602009460","272726","3639","637046","22242","1145","19.42",""
"18","","Genshin Impact","9673457520","505464600","627344","5476","391419","18406","961","19.14",""
"19","","Dota 2","34709057880","495739560","1690706","1949","170880","66044","943","70.01",""
"20","","Overwatch","7880930940","490875000","111132","2362","387396","14995","934","16.05",""
"21","","Destiny 2","5452899480","453895140","287418","18053","263138","10375","863","12.01",""
"22","","Art","7349192640","432524040","100089","1503","284354","13984","823","16.99",""
"23","","FIFA 21","14891387280","410850180","837094","7733","441221","28335","781","36.25",""
"24","","PUBG: BATTLEGROUNDS","9302530560","400305120","194238","1538","195878","17700","761","23.24",""
"25","","Final Fantasy XIV Online","6475210380","329896080","222086","5406","138306","12321","627","19.63",""
"26","","New World","11375263680","306957660","983406","16345","200949","21644","584","37.06",""
"27","","NBA 2K21","2856330780","293355180","81377","1986","269228","5435","558","9.74",""
"28","","Rust","22094518260","286266120","1373791","3249","234341","42041","544","77.18",""
"29","","Phasmophobia","3422250420","279269820","173802","3728","474656","6511","531","12.25",""
"30","","Sea of Thieves","4132413900","271102020","204698","5144","286987","7863","515","15.24",""
"31","","Roblox","2362821000","270553080","999409","1407","463783","4495","514","8.73",""
"32","","Valheim","3706573860","228440940","220179","5331","227252","7052","434","16.23",""
"33","","Games + Demos","1993511880","215601360","104096","4261","349262","3793","410","9.25",""
"34","","Garena Free Fire","5936814600","200580180","518728","1005","176187","11296","381","29.6",""
"35","","Teamfight Tactics","12171784320","197870700","139836","1713","189796","23160","376","61.51",""
"36","","Call of Duty: Vanguard","2829402000","195200640","329920","15131","219092","5383","371","14.49",""
"37","","Ark: Survival Evolved","2969519160","190332420","405649","1446","169088","5650","362","15.6",""
"38","","Red Dead Redemption 2","1630987680","176961000","41489","1029","185639","3103","336","9.22",""
"39","","FIFA 22","9619760220","175457580","515344","5044","208742","18304","333","54.83",""
"40","","Among Us","8308535220","169945800","697975","4332","455837","15809","323","48.89",""
"41","","osu!","1393794540","150994080","137602","587","181698","2652","287","9.23",""
"42","","SMITE","4084001820","150634860","97040","873","93633","7771","286","27.11",""
"43","","Path of Exile","8095866660","147622740","320831","4123","60522","15404","280","54.84",""
"44","","DayZ","3722271420","144075720","297130","682","98974","7082","274","25.84",""
"45","","Resident Evil Village","3667241460","136003020","658445","15117","201492","6978","258","26.96",""
"46","","Call of Duty: Mobile","774876960","130411920","59383","618","126163","1474","248","5.94",""
"47","","Fall Guys","3408155880","126992940","320033","1356","289248","6485","241","26.84",""
"48","","Talk Shows & Podcasts","4903348020","126396180","330546","711","83930","9330","240","38.79",""
"49","","NBA 2K22","1699326180","125608440","159548","7211","100691","3233","239","13.53",""
"50","","Hunt: Showdown","2125404660","125370360","86051","738","71930","4044","238","16.95",""
