"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","63247725480","4315942680","1611930","67544","3140505","120348","8212","14.65",""
"2","","League of Legends","67106132760","1467818880","1782765","6392","903868","127689","2792","45.72",""
"3","","Apex Legends","20839256940","1315442460","666868","18932","1360598","39653","2503","15.84",""
"4","","World of Warcraft","25294419540","699906660","1103295","19085","318030","48130","1331","36.14",""
"5","","Just Chatting","45583983300","685053600","287294","3315","793331","86737","1303","66.54",""
"6","","Counter-Strike: Global Offensive","27472484100","651743700","833440","2895","772307","52274","1240","42.15",""
"7","","PUBG: BATTLEGROUNDS","14898951660","645480600","271355","2604","458157","28349","1228","23.08",""
"8","","Overwatch","17045290620","577819020","321314","2813","543819","32433","1099","29.5",""
"9","","Tom Clancy's Rainbow Six Siege","7618289040","568925220","223099","2486","706455","14496","1082","13.39",""
"10","","Call of Duty: Black Ops 4","5645824440","531893340","220935","4593","494062","10742","1012","10.61",""
"11","","Minecraft","10648633980","497376540","233472","2979","762104","20262","946","21.41",""
"12","","Grand Theft Auto V","34734951840","468496620","304053","2729","522072","66093","891","74.14",""
"13","","Dota 2","30181354200","342919740","1045985","1601","199382","57429","652","88.01",""
"14","","Destiny 2","4269475260","322450920","228980","7288","263157","8123","613","13.24",""
"15","","Dead by Daylight","6400908660","320072820","61337","1678","243092","12179","609","20",""
"16","","Call of Duty: Warzone","4963310040","218690880","387902","13276","398587","9444","416","22.7",""
"17","","Rocket League","3461691420","195053040","240598","881","333984","6586","371","17.75",""
"18","","Art","3056252760","189758640","26437","593","148676","5815","361","16.11",""
"19","","Teamfight Tactics","10575252300","171328380","358190","2966","217194","20122","326","61.73",""
"20","","Music","3540259200","170572320","82015","557","83004","6736","324","20.76",""
"21","","Escape from Tarkov","4942730040","166898160","224062","1347","75672","9405","317","29.62",""
"22","","Final Fantasy XIV Online","1926634200","144201840","132239","2439","71694","3666","274","13.36",""
"23","","Path of Exile","5538617280","134383140","257319","3094","86463","10538","255","41.22",""
"24","","FIFA 19","4872780900","123647160","284483","1434","195911","9271","235","39.41",""
"25","","NBA 2K19","1186441560","112710720","43230","893","151084","2257","214","10.53",""
"26","","Sea of Thieves","3014058960","111073200","125641","1538","137037","5735","211","27.14",""
"27","","Monster Hunter: World","1714765620","101269200","75752","1113","121464","3262","192","16.93",""
"28","","Hearthstone","15012961500","101190900","278075","1572","113116","28566","192","148.36",""
"29","","Tom Clancy's The Division 2","1565110320","100529160","139221","3544","159268","2978","191","15.57",""
"30","","osu!","690713820","98602740","20411","386","131035","1314","187","7.01",""
"31","","Red Dead Redemption 2","994129440","94316280","128607","1898","151006","1891","179","10.54",""
"32","","Black Desert","2013288660","92563560","62360","377","50653","3830","176","21.75",""
"33","","Rust","1878266400","88247220","41730","484","92969","3573","167","21.28",""
"34","","World of Tanks","2269084080","88021080","61123","499","55668","4317","167","25.78",""
"35","","Warframe","1134275640","86661180","419066","359","94431","2158","164","13.09",""
"36","","Ark: Survival Evolved","1109602260","83812380","33736","445","71912","2111","159","13.24",""
"37","","Resident Evil 2","1854480660","77936160","314244","6488","150055","3528","148","23.79",""
"38","","SMITE","1240876080","77683200","46442","349","72816","2361","147","15.97",""
"39","","FIFA 20","5044951020","74978100","249600","2047","101918","9599","142","67.29",""
"40","","Old School RuneScape","3653203680","73843860","83930","332","50933","6951","140","49.47",""
"41","","Super Smash Bros. Ultimate","3377422620","72622260","271926","799","59996","6426","138","46.51",""
"42","","PUBG Mobile","620830380","72190860","37821","380","93157","1181","137","8.6",""
"43","","Sekiro: Shadows Die Twice","2707693140","68421960","279037","4679","145142","5152","130","39.57",""
"44","","Borderlands 3","1376336700","67357020","360940","7217","95332","2618","128","20.43",""
"45","","DayZ","1228659360","62493900","47011","413","62791","2337","118","19.66",""
"46","","Roblox","342605820","62131980","21053","283","138338","651","118","5.51",""
"47","","Diablo III","1093828500","61888620","41511","2018","76990","2081","117","17.67",""
"48","","Retro","1165648860","61317960","86249","211","28273","2218","116","19.01",""
"49","","Battlefield V","744202260","60176160","144098","1739","145494","1416","114","12.37",""
"50","","Magic: The Gathering","4420343400","59089740","155987","431","51834","8411","112","74.81",""
